tweet,embedding_negative,embedding_neutral,embedding_positive,sentiment
"Flashback: Hillary Clinton disputed validity of 2016 election, called Trump""illegitimate president"" & told Biden not to concede ""under any circumstances."" Dems also objected to 2016 Electoral College. This is the same thing U.S. media is losing their minds about ""because Trump.""",0.74989104,0.23872232,0.011386673,negative
"Biden defeats Trump for White House, says 'time to heal'
https://cp24.com/world/biden-defeats-trump-for-white-house-says-time-to-heal-1.5179090…",0.32914442,0.6115023,0.05935324,neutral
"The votes are in, but are still being counted. 6 key battleground states are still up for grabs, and both President Donald Trump and former Vice President Joe Biden have paths to the White House. https://cnb.cx/38apWUs",0.022907812,0.8085915,0.16850066,neutral
"FLASHBACK: Five years ago today, flanked by then-Vice President Joe Biden, President Obama responded to then-President-elect Trump's victory over Secretary of State Hillary Clinton in the 2016 election.",0.038043037,0.86555004,0.09640696,neutral
Former President Bill Clinton and Former Secretary of State Hillary Clinton arrive at the Capitol ahead of the inauguration of Joe Biden. https://abcn.ws/3ivKh9F #InaugurationDay,0.017910145,0.8753498,0.10673993,neutral
Joe Biden Defeats Donald Trump in Historic Presidential Campaign https://peoplem.ag/3p9Dgyf,0.045220964,0.7172537,0.23752533,neutral
"2016:
 *Clinton supporter* 
       “TRUMP IS NOT MY PRESIDENT!!”
 *Trump supporter”
       “lol, yes he is. Get over it. He is YOUR president! MAGA!”

2020: 
   *Trump supporter*
       “FRAUD! NOT MY PRESIDENT THIS ELECTION WAS STOLEN MAGA TIL I DIE”
    *Biden supporter*",0.61851007,0.31464636,0.06684366,negative
"Georgia voters, along with a clear majority of Americans, chose Joe Biden to be their president. Trump can’t change that, no matter how many oaths he breaks.

GOP legislators who side with his attempts to overturn a free and fair election out themselves as opponents of democracy.",0.56981117,0.38288233,0.04730647,negative
"Here's how elected Republicans and conservative media can begin the healing and unifying process: 

Accurately state that Joe Biden was duly elected president in a free and fair election. 

Urge Trump supporters to refrain from further violence. 

For a start.",0.12013757,0.63111866,0.24874374,neutral
Former President Bill Clinton and Former Secretary of State Hillary Clinton arrive at the Capitol ahead of the inauguration of Joe Biden. https://abcn.ws/3bVGO2Z #InaugurationDay,0.017260026,0.87466305,0.108077,neutral
"Biden beat Trump by some 7 million votes.

This should not be surprising even to a moron such as you since Hillary Clinton beat Trump by some 3 million votes.

Biden won the election. Biden will be president.",0.51631683,0.3917262,0.091956995,negative
"This is my Pennsylvania redistricting map. Shaded by 2016 president. That election is Trump 9-Clinton 8, which is proportional to the state. Biden likely flipped the 1st. There are six competitive districts, although #6 is likely Safe D by now.",0.033070482,0.80943143,0.15749806,neutral
"After two political conventions, Joe Biden maintains an advantage over Donald Trump — 51% to 43% — among registered voters, according to a new CNN poll https://cnn.it/31Px3hw",0.0096262675,0.5946298,0.39574397,neutral
"I Donald J Trump, hereby impeach Joe Biden, Kamala Harris, Barack Obama, Nancy Pelosi, Hillary Clinton, Mitt Romney, Mitch McConnell & Greta Thunberg. I hereby declare that I won the election of 2020 with the biggest landslide.

Signed:
Donald J Trump
President
#TrumpSeriesFinale",0.13173151,0.5345334,0.33373514,neutral
Democrat Joe Biden captured the U.S. presidency as voters narrowly rebuffed Republican incumbent Donald Trump's tumultuous leadership and embraced Biden's promise to fight the coronavirus pandemic and fix the economy in a divided nation https://reut.rs/3n0lo7e,0.042255294,0.41671762,0.5410271,positive
"Democrat Joe Biden edged closer to winning the White House, expanding his narrow leads over President Trump in the battleground states of Pennsylvania and Georgia https://reut.rs/3eFAw71",0.004243116,0.4075242,0.5882327,positive
"Congress certified U.S. #Electoral College votes early this morning for Joe #Biden. President Donald #Trump has vowed to continue fighting to better America. He also promised an ""orderly transition on Jan. 20"" but didn't mention Biden's name.",0.033457052,0.5207277,0.44581527,neutral
"“By the time [Donald Trump] comes off the 18th green, someone is going to have to tell him that Joe Biden is the president-elect”

@BBCJonSopel says “the tension has been relieved” in Washington as Joe Biden is projected to become president

#Election2020 http://bbc.in/3l8fYqn",0.11187263,0.7187833,0.1693441,neutral
